id,objectId,Make,Year,Model,Category1,Category2,Category3
1,YB3GyV3Hpg,Acura,1992,Legend,Sedan, Coupe,
2,gxu52QkuEE,Acura,1992,NSX,Coupe,,
3,MSujtzsWHi,Acura,1992,Vigor,Sedan,,
4,T1z4lnj443,Acura,1993,NSX,Coupe,,
5,fFV3Huz5ya,Acura,1993,Vigor,Sedan,,
6,YF3Tnr1B8k,Acura,1993,Integra,Hatchback, Sedan,
7,bwaA5P4ndR,Acura,1993,Legend,Sedan, Coupe,
8,z6OCLZeFmf,Acura,1994,NSX,Coupe,,
9,rs2pbyduu3,Acura,1994,Integra,Hatchback, Sedan,
10,FE6TL0ms2i,Acura,1994,Legend,Coupe, Sedan,
11,rU1i6kdGlD,Acura,1994,Vigor,Sedan,,
12,6NnKu4GGGd,Acura,1995,TL,Sedan,,
13,G8yEVyQxCm,Acura,1995,NSX,Convertible,,
14,lO31und7R1,Acura,1995,Integra,Sedan, Hatchback,
15,mEWh1YIhny,Acura,1995,Legend,Coupe, Sedan,
16,StIz2HH60o,Acura,1996,Integra,Sedan, Hatchback,
17,kbw31UyaIH,Acura,1996,SLX,SUV,,
18,YyUdRG6j1X,Acura,1996,TL,Sedan,,
19,rNNf0RTIIX,Acura,1996,NSX,Coupe, Convertible,
20,zaU2LZVaZE,Acura,1996,RL,Sedan,,
21,t1BkHppEvT,Acura,1997,RL,Sedan,,
22,1JT6vEGMPl,Acura,1997,Integra,Coupe, Sedan,
23,VTFeCqKdyf,Acura,1997,TL,Sedan,,
24,ulIFPFMgey,Acura,1997,SLX,SUV,,
25,tZRcA2RwL3,Acura,1997,NSX,Coupe, Convertible,
26,cVFEQvKpRa,Acura,1997,CL,Coupe,,
27,djANtJbPnW,Acura,1998,RL,Sedan,,
28,VXWuQlLazx,Acura,1998,Integra,Hatchback, Sedan,
29,aqwb7ZHoXy,Acura,1998,CL,Coupe,,
30,wEP1kYYfCr,Acura,1998,NSX,Coupe, Convertible,
31,NSDNOwe85N,Acura,1998,SLX,SUV,,
32,ojQiNUAEY7,Acura,1998,TL,Sedan,,
33,ITBcBwFTIJ,Acura,1999,SLX,SUV,,
34,M9mjvNVCyR,Acura,1999,NSX,Convertible, Coupe,
35,zHtTX2PWKz,Acura,1999,Integra,Sedan, Hatchback,
36,2qJDP37PDL,Acura,1999,CL,Coupe,,
37,u4phwQZlUP,Acura,1999,RL,Sedan,,
38,gG9oU6DalU,Acura,1999,TL,Sedan,,
39,fZrvLWOczB,Acura,2000,TL,Sedan,,
40,rLWDv3wPRE,Acura,2000,NSX,Coupe, Convertible,
41,XlrPgkay9V,Acura,2000,Integra,Sedan, Hatchback,
42,Uakw22wtEx,Acura,2000,RL,Sedan,,
43,xIDZqTEkJ7,Acura,2001,Integra,Hatchback, Sedan,
44,R7a9E3q9Wi,Acura,2001,CL,Coupe,,
45,5GDJT8HHXo,Acura,2001,MDX,SUV,,
46,Vs5fWCF2zm,Acura,2001,TL,Sedan,,
47,ZRZwR89NWh,Acura,2001,NSX,Coupe, Convertible,
48,3r15TRLW37,Acura,2001,RL,Sedan,,
49,8ypWY4aqp2,Acura,2002,MDX,SUV,,
50,nNyiIFG4K8,Acura,2002,CL,Coupe,,
51,DnKqxek99P,Acura,2002,TL,Sedan,,
52,TM5YDKGGfG,Acura,2002,RSX,Coupe,,
53,JA05Coq786,Acura,2002,NSX,Coupe,,
54,rtEpTm8m2q,Acura,2002,RL,Sedan,,
55,nIDRrEgHzs,Acura,2003,MDX,SUV,,
56,8P4jKmNZT9,Acura,2003,RSX,Coupe,,
57,6A0kAt70qA,Acura,2003,CL,Coupe,,
58,ZbPEvZ9zde,Acura,2003,TL,Sedan,,
59,ZeL538OneZ,Acura,2003,RL,Sedan,,
60,bshebpVFBn,Acura,2003,NSX,Coupe,,
61,BQsNn6kXox,Acura,2004,MDX,SUV,,
62,aKPp1UFdRZ,Acura,2004,TSX,Sedan,,
63,yrPmpzjPjW,Acura,2004,RSX,Coupe,,
64,aOoxZlRZpD,Acura,2004,TL,Sedan,,
65,rN5aWyuvr9,Acura,2004,NSX,Coupe,,
66,mwTVoar4jp,Acura,2004,RL,Sedan,,
67,AejtnKVLDZ,Acura,2005,TL,Sedan,,
68,U2A7jHsUYz,Acura,2005,RSX,Coupe,,
69,FNLj7zbON8,Acura,2005,MDX,SUV,,
70,Q7t1f0Cgdk,Acura,2005,NSX,Coupe,,
71,SCDnqAWYct,Acura,2005,RL,Sedan,,
72,id6vBoRuH5,Acura,2005,TSX,Sedan,,
73,Q8SloFhjai,Acura,2006,MDX,SUV,,
74,kz5t9kGTh7,Acura,2006,TSX,Sedan,,
75,0ka0eUNZp4,Acura,2006,TL,Sedan,,
76,GH0L4olZcD,Acura,2006,RL,Sedan,,
77,Me74SUiN7R,Acura,2006,RSX,Coupe,,
78,mzMzIaknBf,Acura,2007,MDX,SUV,,
79,4RjtFN7r03,Acura,2007,TL,Sedan,,
80,91vj9cH2Rm,Acura,2007,TSX,Sedan,,
81,jPYxux1AOt,Acura,2007,RDX,SUV,,
82,oyBPmMHv9Q,Acura,2007,RL,Sedan,,
83,z3rnE3andT,Acura,2008,MDX,SUV,,
84,W2wv0vZoSW,Acura,2008,TSX,Sedan,,
85,caNivahyBR,Acura,2008,RDX,SUV,,
86,375qzeOlYa,Acura,2008,TL,Sedan,,
87,yA4RiBKzuK,Acura,2008,RL,Sedan,,
88,IcGgBzmMx2,Acura,2009,RL,Sedan,,
89,9zFlNymb1p,Acura,2009,TSX,Sedan,,
90,tzENWXgs6r,Acura,2009,RDX,SUV,,
91,nNiVkO6WBa,Acura,2009,MDX,SUV,,
92,FGxwRoN79N,Acura,2009,TL,Sedan,,
93,s4yUrkDw7p,Acura,2010,MDX,SUV,,
94,p3sDKblMNn,Acura,2010,TSX,Sedan,,
95,CmzhFsMiki,Acura,2010,RDX,SUV,,
96,6Zyb3VRNah,Acura,2010,RL,Sedan,,
97,xXZHgxFYEa,Acura,2010,ZDX,SUV,,
98,sF1KFItGUj,Acura,2010,TL,Sedan,,
99,5x4G9lVvu3,Acura,2011,ZDX,SUV,,
100,D0LgqwNKzB,Acura,2011,MDX,SUV,,
101,hdXLyJhpDJ,Acura,2011,RDX,SUV,,
102,pbxM3idaon,Acura,2011,TL,Sedan,,
103,JsDfp4YIcV,Acura,2011,RL,Sedan,,
104,4CEhElb4Kl,Acura,2011,TSX,Sedan, Wagon,
105,yToD8X8tNy,Acura,2012,RDX,SUV,,
106,nDpcCCHZNM,Acura,2012,TSX,Wagon, Sedan,
107,iicy422BJp,Acura,2012,MDX,SUV,,
108,nbUJ2Ezx4i,Acura,2012,RL,Sedan,,
109,DQLWLc5dlF,Acura,2012,TL,Sedan,,
110,9ecnS3GF1I,Acura,2012,ZDX,SUV,,
111,e1NN32lr7o,Acura,2013,MDX,SUV,,
112,S954IO69iC,Acura,2013,ILX,Sedan,,
113,gDgBToJZI9,Acura,2013,TSX,Sedan, Wagon,
114,XH6x2JIgCk,Acura,2013,TL,Sedan,,
115,83rYB549XL,Acura,2013,RDX,SUV,,
116,UDCJevVrtC,Acura,2013,ZDX,SUV,,
117,BD3ARqLAnl,Acura,2014,ILX,Sedan,,
118,Foi50Of5Ee,Acura,2014,RDX,SUV,,
119,bHrD8xsZsW,Acura,2014,MDX,SUV,,
120,6kMSoND8a0,Acura,2014,TSX,Sedan, Wagon,
121,mV7CFl7zOm,Acura,2014,RLX,Sedan,,
